dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
exponential,0.0,none,zero,5,0.24840949374543636,0.20190183852986432,0.7515905062545637,0.7980981614701357
uniform,0.0,partial,hvhm,5,0.24979728194219758,0.25048212949811677,0.7502027180578024,0.7495178705018832
logit,0.5,partial,hvhm,5,0.25200933409250964,0.25485304261783615,0.7479906659074904,0.7451469573821639
uniform,0.0,full,hvlm,5,0.2582034892416492,0.22725771122566418,0.7417965107583508,0.7727422887743358
normal,0.5,full,hvlm,5,0.25972055037680947,0.2529431974037555,0.7402794496231906,0.7470568025962445
uniform,0.5,none,hvlm,5,0.2605615990419716,0.2796380746952494,0.7394384009580283,0.7203619253047506
normal,0.0,partial,hvhm,5,0.2625649873149422,0.24188153285849556,0.7374350126850577,0.7581184671415044
uniform,-0.5,full,hvlm,5,0.26301993685755554,0.28462107535301484,0.7369800631424445,0.7153789246469852
normal,0.0,none,hvlm,5,0.2677730324415716,0.28117864078533117,0.7322269675584284,0.7188213592146688
uniform,-0.5,none,hvhm,5,0.26987051776335436,0.2729002851614931,0.7301294822366455,0.7270997148385069
normal,-0.5,full,hvhm,5,0.2737145188837772,0.2525562804387055,0.7262854811162228,0.7474437195612945
uniform,0.5,partial,hvlm,5,0.27772925578551094,0.2686874077625476,0.722270744214489,0.7313125922374524
uniform,-0.5,partial,hvlm,5,0.2778533762018705,0.27828192072162194,0.7221466237981294,0.721718079278378
normal,0.0,full,hvlm,5,0.27963282974213355,0.277690312676823,0.7203671702578666,0.722309687323177
lognormal,-0.5,partial,hvlm,5,0.290513739323103,0.3396785203602376,0.709486260676897,0.6603214796397624
uniform,0.0,partial,hvlm,5,0.29352460176556444,0.2863791689555828,0.7064753982344356,0.7136208310444172
normal,0.0,full,hvhm,5,0.2971182911851483,0.28600004714672655,0.7028817088148516,0.7139999528532734
exponential,-0.5,none,hvlm,5,0.2995985263289772,0.29941098778095543,0.7004014736710229,0.7005890122190446
uniform,0.5,partial,hvhm,5,0.3022736545663608,0.2945826266385432,0.6977263454336392,0.7054173733614568
uniform,0.0,full,hvhm,5,0.30601982316781884,0.2714941217616321,0.6939801768321812,0.7285058782383679
lognormal,0.5,partial,hvlm,5,0.3071333800628434,0.2837741308248338,0.6928666199371566,0.7162258691751662
normal,-0.5,none,hvhm,5,0.3073351253737003,0.33511760795197765,0.6926648746262998,0.6648823920480224
normal,0.5,full,hvhm,5,0.3074248708328119,0.31971792645225494,0.6925751291671881,0.6802820735477451
lognormal,0.0,partial,hvlm,5,0.3095753704318966,0.2578465362196727,0.6904246295681034,0.7421534637803273
exponential,0.0,none,hvlm,5,0.3101548677263657,0.3077856214867508,0.6898451322736343,0.6922143785132492
lognormal,-0.5,none,hvhm,5,0.31256590593963174,0.31935803983380595,0.6874340940603683,0.680641960166194
uniform,0.0,none,hvhm,5,0.3134490165039828,0.3229162392649646,0.6865509834960173,0.6770837607350354
exponential,0.5,none,zero,5,0.313934101289627,0.31938662464718426,0.6860658987103729,0.6806133753528157
uniform,0.5,full,hvlm,5,0.3162792130092806,0.30767889587785735,0.6837207869907195,0.6923211041221426
lognormal,-0.5,partial,hvhm,5,0.3169952332135036,0.348026021649696,0.6830047667864964,0.651973978350304
logit,0.5,none,hvhm,5,0.3199494492223859,0.2783549871715475,0.6800505507776141,0.7216450128284525
normal,0.5,none,hvhm,5,0.3230566571223344,0.32580614473549785,0.6769433428776657,0.6741938552645022
uniform,0.5,none,hvhm,5,0.33083234318881666,0.34179981138449944,0.6691676568111833,0.6582001886155006
logit,-0.5,none,hvhm,5,0.33177849528557435,0.3619146331150649,0.6682215047144258,0.6380853668849351
exponential,0.0,partial,hvlm,5,0.3386367482234188,0.34360461997355707,0.6613632517765812,0.6563953800264429
lognormal,0.5,partial,hvhm,5,0.34492774935855003,0.38522381079519286,0.65507225064145,0.6147761892048071
lognormal,0.0,none,hvhm,5,0.34557095947832506,0.3902849654315037,0.654429040521675,0.6097150345684963
uniform,0.5,full,hvhm,5,0.349187559957765,0.3193482332778642,0.650812440042235,0.6806517667221358
