dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
uniform,0.0,none,zero,1,0.23235081214725795,0.23235081214725795,0.767649187852742,0.767649187852742
normal,0.5,full,hvhm,1,0.2386259171445244,0.2386259171445244,0.7613740828554756,0.7613740828554756
lognormal,-0.5,none,hvhm,1,0.23937191191221852,0.23937191191221852,0.7606280880877815,0.7606280880877815
normal,0.0,partial,hvlm,1,0.23965656220557874,0.23965656220557874,0.7603434377944213,0.7603434377944213
lognormal,0.5,full,zero,1,0.24195798304531269,0.24195798304531269,0.7580420169546873,0.7580420169546873
uniform,-0.5,partial,hvhm,1,0.24572479297354455,0.24572479297354455,0.7542752070264555,0.7542752070264555
lognormal,0.5,none,hvlm,1,0.24724717144818198,0.24724717144818198,0.752752828551818,0.752752828551818
uniform,0.0,partial,hvhm,1,0.25048212949811677,0.25048212949811677,0.7495178705018832,0.7495178705018832
logit,0.5,partial,hvhm,1,0.25485304261783615,0.25485304261783615,0.7451469573821639,0.7451469573821639
exponential,-0.5,full,zero,1,0.26675151518770523,0.26675151518770523,0.7332484848122948,0.7332484848122948
exponential,0.5,partial,hvhm,1,0.2686525679792944,0.2686525679792944,0.7313474320207056,0.7313474320207056
uniform,0.5,partial,hvlm,1,0.2686874077625476,0.2686874077625476,0.7313125922374524,0.7313125922374524
logit,-0.5,full,hvhm,1,0.26928587211656974,0.26928587211656974,0.7307141278834303,0.7307141278834303
exponential,0.5,none,hvhm,1,0.27018777673995087,0.27018777673995087,0.7298122232600491,0.7298122232600491
exponential,-0.5,none,hvlm,1,0.2712261405192473,0.2712261405192473,0.7287738594807527,0.7287738594807527
lognormal,-0.5,full,hvlm,1,0.2717952995370151,0.2717952995370151,0.7282047004629849,0.7282047004629849
exponential,0.0,full,zero,1,0.27309599803441,0.27309599803441,0.72690400196559,0.72690400196559
normal,0.0,full,hvhm,1,0.27532971763359637,0.27532971763359637,0.7246702823664036,0.7246702823664036
lognormal,-0.5,none,hvlm,1,0.2770150893947989,0.2770150893947989,0.7229849106052011,0.7229849106052011
uniform,-0.5,partial,hvlm,1,0.27828192072162194,0.27828192072162194,0.721718079278378,0.721718079278378
lognormal,-0.5,partial,hvhm,1,0.2805437137516624,0.2805437137516624,0.7194562862483376,0.7194562862483376
normal,0.0,none,hvlm,1,0.28117864078533117,0.28117864078533117,0.7188213592146688,0.7188213592146688
uniform,-0.5,none,hvhm,1,0.29382040494455597,0.29382040494455597,0.706179595055444,0.706179595055444
uniform,0.5,partial,hvhm,1,0.2945826266385432,0.2945826266385432,0.7054173733614568,0.7054173733614568
uniform,-0.5,full,hvhm,1,0.29471045130539375,0.29471045130539375,0.7052895486946062,0.7052895486946062
normal,-0.5,full,hvlm,1,0.3044318977355518,0.3044318977355518,0.6955681022644482,0.6955681022644482
logit,0.0,none,hvhm,1,0.3129263548881005,0.3129263548881005,0.6870736451118995,0.6870736451118995
exponential,0.0,none,hvhm,1,0.32554948875085754,0.32554948875085754,0.6744505112491425,0.6744505112491425
normal,0.5,none,hvhm,1,0.32580614473549785,0.32580614473549785,0.6741938552645022,0.6741938552645022
lognormal,0.5,none,hvhm,1,0.33195106215522796,0.33195106215522796,0.668048937844772,0.668048937844772
normal,0.0,partial,hvhm,1,0.3363537485971183,0.3363537485971183,0.6636462514028817,0.6636462514028817
normal,0.5,full,hvlm,1,0.33878701520119936,0.33878701520119936,0.6612129847988006,0.6612129847988006
lognormal,-0.5,full,hvhm,1,0.34550415931222267,0.34550415931222267,0.6544958406877773,0.6544958406877773
normal,0.5,none,hvlm,1,0.35460268425908015,0.35460268425908015,0.6453973157409199,0.6453973157409199
lognormal,0.5,full,hvhm,1,0.3623597771489707,0.3623597771489707,0.6376402228510293,0.6376402228510293
normal,0.5,partial,hvhm,1,0.3652245482428014,0.3652245482428014,0.6347754517571986,0.6347754517571986
exponential,-0.5,none,hvhm,1,0.36641201356550046,0.36641201356550046,0.6335879864344995,0.6335879864344995
lognormal,0.0,partial,hvhm,1,0.376192281196313,0.376192281196313,0.623807718803687,0.623807718803687
uniform,0.0,none,hvhm,1,0.38170961736585063,0.38170961736585063,0.6182903826341494,0.6182903826341494
exponential,-0.5,full,hvhm,1,0.38412027877352917,0.38412027877352917,0.6158797212264708,0.6158797212264708
lognormal,0.5,partial,hvhm,1,0.38522381079519286,0.38522381079519286,0.6147761892048071,0.6147761892048071
lognormal,0.0,none,hvhm,1,0.3884872995553932,0.3884872995553932,0.6115127004446068,0.6115127004446068
exponential,0.0,full,hvhm,1,0.39843702025464334,0.39843702025464334,0.6015629797453567,0.6015629797453567
lognormal,0.5,full,hvlm,1,0.40021206453888936,0.40021206453888936,0.5997879354611106,0.5997879354611106
logit,-0.5,none,hvhm,1,0.40665796731705695,0.40665796731705695,0.593342032682943,0.593342032682943
uniform,0.5,none,hvhm,1,0.4180374020427451,0.4180374020427451,0.5819625979572549,0.5819625979572549
exponential,-0.5,partial,hvhm,1,0.4235184056551622,0.4235184056551622,0.5764815943448378,0.5764815943448378
uniform,0.0,none,hvlm,1,0.42363144583941625,0.42363144583941625,0.5763685541605837,0.5763685541605837
