instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvhm,logit,0.0,partial,hvhm,20300306,OK,1.36230305021254,1.301774459215926,0.9555689235319772,0.0444310764680228
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm,logit,0.0,partial,hvlm,20301306,OK,1.837637606725038,1.5656651245998305,0.8519988483420812,0.14800115165791883
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero,logit,0.0,partial,zero,20299306,OK,15.568645827313327,13.809462075699063,0.8870047034837168,0.11299529651628315
cpbsd_instance_001_N5_K50_logit_rho0.5_full_hvhm,logit,0.5,full,hvhm,20312306,OK,1.1306238711890548,0.9531700415735539,0.8430478657514313,0.1569521342485687
cpbsd_instance_001_N5_K50_logit_rho0.5_full_hvlm,logit,0.5,full,hvlm,20313306,OK,1.02992818071598,0.8279428238791685,0.8038840371409235,0.1961159628590765
cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero,logit,0.5,full,zero,20311306,OK,25.781870446000198,24.84107156596242,0.9635092852549907,0.03649071474500931
cpbsd_instance_001_N5_K50_logit_rho0.5_none_hvhm,logit,0.5,none,hvhm,20306306,OK,0.5778990688303106,0.4729639475932927,0.8184196395238869,0.18158036047611315
cpbsd_instance_001_N5_K50_logit_rho0.5_none_hvlm,logit,0.5,none,hvlm,20307306,OK,0.9837421758359457,0.8455013141746079,0.8594744994603224,0.1405255005396776
cpbsd_instance_001_N5_K50_logit_rho0.5_none_zero,logit,0.5,none,zero,20305306,OK,3.516786747717579,3.278447618768175,0.9322281542649442,0.06777184573505579
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_hvhm,logit,0.5,partial,hvhm,20309306,OK,1.4176489850859908,1.0563568278727387,0.7451469573821639,0.25485304261783615
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_hvlm,logit,0.5,partial,hvlm,20310306,OK,1.6555038276139606,1.3383626374725983,0.8084322217494051,0.1915677782505949
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero,logit,0.5,partial,zero,20308306,OK,15.20295190609621,14.48052889847752,0.9524813988703729,0.047518601129627136
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_hvhm,lognormal,-0.5,full,hvhm,20321306,OK,3.377212425738462,2.2103714857649024,0.6544958406877773,0.34550415931222267
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_hvlm,lognormal,-0.5,full,hvlm,20322306,OK,3.250067280588234,2.366714270545303,0.7282047004629849,0.2717952995370151
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,lognormal,-0.5,full,zero,20320306,OK,19.846466066437387,17.35480092745347,0.8744529564788563,0.12554704352114365
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_hvhm,lognormal,-0.5,none,hvhm,20315306,OK,0.8019175645742554,0.609961023946126,0.7606280880877815,0.23937191191221852
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_hvlm,lognormal,-0.5,none,hvlm,20316306,OK,1.1967215281989616,0.8652116070842459,0.7229849106052011,0.2770150893947989
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero,lognormal,-0.5,none,zero,20314306,OK,3.849313042399457,3.2588979471022084,0.8466180617699995,0.15338193823000046
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_hvhm,lognormal,-0.5,partial,hvhm,20318306,OK,2.3411350250540295,1.6843443107312808,0.7194562862483376,0.2805437137516624
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_hvlm,lognormal,-0.5,partial,hvlm,20319306,OK,2.4369052383206875,1.9776349352284643,0.8115354278573778,0.18846457214262224
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero,lognormal,-0.5,partial,zero,20317306,OK,11.741566447373105,11.101833991598122,0.9455155784671212,0.0544844215328788
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_hvhm,lognormal,0.0,full,hvhm,20330306,OK,4.27058565715908,2.0943256502718484,0.4904071287648767,0.5095928712351233
