dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
exponential,0.0,partial,hvlm,1,0.21131699168175755,0.21131699168175755,0.7886830083182425,0.7886830083182425
exponential,-0.5,full,zero,1,0.21156591405685332,0.21156591405685332,0.7884340859431467,0.7884340859431467
uniform,-0.5,partial,hvhm,1,0.2128629565343314,0.2128629565343314,0.7871370434656686,0.7871370434656686
normal,0.0,partial,hvlm,1,0.2179265926353735,0.2179265926353735,0.7820734073646265,0.7820734073646265
exponential,-0.5,none,hvlm,1,0.21793983774137982,0.21793983774137982,0.7820601622586202,0.7820601622586202
lognormal,0.5,partial,zero,1,0.2212359309142875,0.2212359309142875,0.7787640690857125,0.7787640690857125
uniform,0.0,partial,hvhm,1,0.22434464266237897,0.22434464266237897,0.775655357337621,0.775655357337621
exponential,0.5,partial,zero,1,0.2297287527726709,0.2297287527726709,0.7702712472273291,0.7702712472273291
logit,0.5,partial,hvhm,1,0.23084120659903673,0.23084120659903673,0.7691587934009633,0.7691587934009633
uniform,0.0,none,zero,1,0.23235081214725795,0.23235081214725795,0.767649187852742,0.767649187852742
logit,-0.5,full,hvhm,1,0.23417138422919215,0.23417138422919215,0.7658286157708079,0.7658286157708079
lognormal,0.0,none,hvlm,1,0.23751795965145572,0.23751795965145572,0.7624820403485443,0.7624820403485443
lognormal,-0.5,none,hvhm,1,0.24015406679060847,0.24015406679060847,0.7598459332093915,0.7598459332093915
normal,-0.5,none,hvhm,1,0.24098736660925957,0.24098736660925957,0.7590126333907404,0.7590126333907404
lognormal,0.5,none,hvlm,1,0.24305071603110384,0.24305071603110384,0.7569492839688962,0.7569492839688962
lognormal,0.5,full,zero,1,0.24384876148511303,0.24384876148511303,0.756151238514887,0.756151238514887
lognormal,-0.5,none,hvlm,1,0.2453894502475692,0.2453894502475692,0.7546105497524308,0.7546105497524308
lognormal,-0.5,partial,hvlm,1,0.2487025851718624,0.2487025851718624,0.7512974148281376,0.7512974148281376
uniform,0.5,partial,hvlm,1,0.2502078636188534,0.2502078636188534,0.7497921363811466,0.7497921363811466
uniform,-0.5,partial,hvlm,1,0.25427207888151404,0.25427207888151404,0.745727921118486,0.745727921118486
exponential,0.5,none,hvhm,1,0.2560364720603028,0.2560364720603028,0.7439635279396972,0.7439635279396972
normal,0.0,full,hvhm,1,0.25915922765895083,0.25915922765895083,0.7408407723410492,0.7408407723410492
exponential,0.0,full,zero,1,0.2640379385033571,0.2640379385033571,0.7359620614966429,0.7359620614966429
lognormal,-0.5,partial,hvhm,1,0.26586436038955497,0.26586436038955497,0.734135639610445,0.734135639610445
uniform,-0.5,full,hvhm,1,0.26705585157618006,0.26705585157618006,0.7329441484238199,0.7329441484238199
exponential,0.5,partial,hvhm,1,0.2686525679792944,0.2686525679792944,0.7313474320207056,0.7313474320207056
uniform,0.5,partial,hvhm,1,0.2869957649233077,0.2869957649233077,0.7130042350766923,0.7130042350766923
normal,0.0,none,hvlm,1,0.2934457946460446,0.2934457946460446,0.7065542053539554,0.7065542053539554
logit,0.0,none,hvhm,1,0.2956887584609572,0.2956887584609572,0.7043112415390428,0.7043112415390428
lognormal,-0.5,full,hvlm,1,0.295913105952168,0.295913105952168,0.704086894047832,0.704086894047832
uniform,-0.5,none,hvhm,1,0.2978670007970097,0.2978670007970097,0.7021329992029903,0.7021329992029903
lognormal,-0.5,full,hvhm,1,0.30680682475697285,0.30680682475697285,0.6931931752430271,0.6931931752430271
exponential,-0.5,none,hvhm,1,0.31242041260190445,0.31242041260190445,0.6875795873980955,0.6875795873980955
normal,0.5,none,hvhm,1,0.32580614473549785,0.32580614473549785,0.6741938552645022,0.6741938552645022
normal,0.0,partial,hvhm,1,0.326071244393096,0.326071244393096,0.673928755606904,0.673928755606904
normal,0.5,full,hvlm,1,0.3278618594848697,0.3278618594848697,0.6721381405151303,0.6721381405151303
lognormal,0.5,full,hvhm,1,0.32908999419913154,0.32908999419913154,0.6709100058008685,0.6709100058008685
normal,0.5,none,hvlm,1,0.33138054987324284,0.33138054987324284,0.6686194501267572,0.6686194501267572
lognormal,0.5,none,hvhm,1,0.33346942322830064,0.33346942322830064,0.6665305767716994,0.6665305767716994
exponential,0.0,none,hvhm,1,0.3384661735364609,0.3384661735364609,0.6615338264635391,0.6615338264635391
lognormal,0.0,partial,hvlm,1,0.3405193626601061,0.3405193626601061,0.6594806373398939,0.6594806373398939
lognormal,0.0,none,hvhm,1,0.3472197700217601,0.3472197700217601,0.6527802299782399,0.6527802299782399
normal,0.5,partial,hvhm,1,0.3520704143876704,0.3520704143876704,0.6479295856123296,0.6479295856123296
