instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_hvlm,uniform,0.0,full,hvlm,20385306,OK,1.26943133309477,1.0210554038402864,0.8043407919915107,0.19565920800848935
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_zero,uniform,0.0,full,zero,20383306,OK,25.068742371938306,23.02885824082818,0.9186283818771238,0.08137161812287619
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_hvhm,uniform,0.0,none,hvhm,20378306,OK,1.4150534055927486,0.8826304532590095,0.6237435631549796,0.3762564368450204
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_hvlm,uniform,0.0,none,hvlm,20379306,OK,1.587286918776031,0.9281020975908828,0.5847097248848679,0.41529027511513206
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_zero,uniform,0.0,none,zero,20377306,OK,3.6208733540832014,2.7795604895796036,0.767649187852742,0.23235081214725795
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_hvhm,uniform,0.0,partial,hvhm,20381306,OK,1.8143122474759428,1.4072810146379746,0.775655357337621,0.22434464266237897
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_hvlm,uniform,0.0,partial,hvlm,20382306,OK,2.216454928627199,1.3481375337318877,0.608240445731455,0.39175955426854503
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero,uniform,0.0,partial,zero,20380306,OK,14.152831597705976,13.172913554704964,0.9307616969624759,0.0692383030375241
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_hvhm,uniform,0.5,full,hvhm,20393306,OK,2.122953479388191,1.1642164590137154,0.548394710631732,0.45160528936826805
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_hvlm,uniform,0.5,full,hvlm,20394306,OK,1.2415737450986981,0.9911896330172792,0.7983332741451337,0.20166672585486634
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_zero,uniform,0.5,full,zero,20392306,OK,23.46605155353692,22.761444591230497,0.9699733480641645,0.030026651935835535
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_hvhm,uniform,0.5,none,hvhm,20387306,OK,1.449690123915891,0.8436654307470668,0.5819625979572549,0.4180374020427451
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_hvlm,uniform,0.5,none,hvlm,20388306,OK,1.2182839969059736,0.9917181578418,0.8140287160961043,0.18597128390389572
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_zero,uniform,0.5,none,zero,20386306,OK,3.247686956924051,2.64014597822805,0.8129311763251299,0.1870688236748701
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_hvhm,uniform,0.5,partial,hvhm,20390306,OK,1.7737435124786587,1.2646866363370914,0.7130042350766923,0.2869957649233077
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_hvlm,uniform,0.5,partial,hvlm,20391306,OK,1.87699183581756,1.4073537185476186,0.7497921363811466,0.2502078636188534
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_zero,uniform,0.5,partial,zero,20389306,OK,13.993466526151272,12.495725087160325,0.8929685195450364,0.10703148045496358
