bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
391,0110000111,5,1,0.001565,1.905304,1,0.001565,0.809221
996,1111100100,6,2,0.001557,1.900854,2,0.001557,0.810778
251,0011111011,7,1,0.001557,2.151253,1,0.001557,0.812335
200,0011001000,3,1,0.001555,1.245167,1,0.001555,0.813890
183,0010110111,6,1,0.001538,1.976313,1,0.001538,0.815428
39,0000100111,4,1,0.001515,1.524487,1,0.001515,0.816943
618,1001101010,5,1,0.001506,1.792710,1,0.001506,0.818450
1002,1111101010,7,3,0.001504,2.135112,3,0.001504,0.819954
311,0100110111,6,1,0.001492,1.764886,1,0.001492,0.821446
505,0111111001,7,1,0.001488,2.095390,1,0.001488,0.822934
287,0100011111,6,1,0.001487,1.887485,1,0.001487,0.824421
79,0001001111,5,1,0.001479,1.796999,1,0.001479,0.825900
235,0011101011,6,1,0.001474,1.780960,1,0.001474,0.827374
387,0110000011,4,1,0.001473,1.565146,1,0.001473,0.828847
848,1101010000,4,2,0.001462,1.651728,2,0.001462,0.830309
231,0011100111,6,1,0.001461,1.894200,1,0.001461,0.831770
34,0000100010,2,1,0.001461,1.136827,1,0.001461,0.833231
715,1011001011,6,2,0.001460,1.927035,2,0.001460,0.834691
764,1011111100,7,1,0.001459,2.129667,1,0.001459,0.836150
786,1100010010,4,1,0.001453,1.498999,1,0.001453,0.837604
308,0100110100,4,1,0.001449,1.554654,1,0.001449,0.839053
662,1010010110,5,1,0.001439,1.765126,1,0.001439,0.840492
395,0110001011,5,1,0.001438,1.691285,1,0.001438,0.841930
985,1111011001,7,2,0.001433,2.095427,2,0.001433,0.843364
937,1110101001,6,2,0.001418,2.071877,2,0.001418,0.844782
643,1010000011,4,1,0.001417,1.668880,1,0.001417,0.846198
566,1000110110,5,1,0.001414,1.725391,1,0.001414,0.847613
378,0101111010,6,1,0.001406,1.870206,1,0.001406,0.849019
47,0000101111,5,1,0.001405,1.746041,1,0.001405,0.850424
699,1010111011,7,3,0.001401,2.076162,3,0.001401,0.851826
487,0111100111,7,2,0.001399,2.196539,2,0.001399,0.853224
798,1100011110,6,1,0.001393,2.089169,1,0.001393,0.854618
986,1111011010,7,1,0.001390,2.093026,1,0.001390,0.856007
868,1101100100,5,1,0.001386,1.671156,1,0.001386,0.857393
731,1011011011,7,1,0.001374,2.185936,1,0.001374,0.858768
760,1011111000,6,1,0.001369,1.987065,1,0.001369,0.860136
908,1110001100,5,1,0.001364,1.742722,1,0.001364,0.861501
343,0101010111,6,1,0.001364,2.064914,1,0.001364,0.862864
851,1101010011,6,1,0.001361,1.877954,1,0.001361,0.864226
935,1110100111,7,1,0.001361,2.219021,1,0.001361,0.865587
698,1010111010,6,1,0.001358,1.912463,1,0.001358,0.866945
198,0011000110,4,1,0.001358,1.528934,1,0.001358,0.868303
169,0010101001,4,1,0.001357,1.738493,1,0.001357,0.869660
272,0100010000,2,1,0.001343,1.088230,1,0.001343,0.871003
821,1100110101,6,2,0.001332,1.868592,2,0.001332,0.872335
627,1001110011,6,1,0.001330,1.931377,1,0.001330,0.873665
934,1110100110,6,1,0.001323,1.984266,1,0.001323,0.874988
809,1100101001,5,1,0.001321,1.690616,1,0.001321,0.876309
249,0011111001,6,1,0.001300,1.885026,1,0.001300,0.877609
403,0110010011,5,1,0.001298,1.893462,1,0.001298,0.878907
952,1110111000,6,1,0.001295,1.817430,1,0.001295,0.880202
219,0011011011,6,2,0.001295,1.931045,2,0.001295,0.881497
276,0100010100,3,1,0.001293,1.389002,1,0.001293,0.882791
791,1100010111,6,1,0.001280,1.832386,1,0.001280,0.884071
363,0101101011,6,1,0.001275,1.906588,1,0.001275,0.885345
220,0011011100,5,1,0.001273,1.743343,1,0.001273,0.886619
89,0001011001,4,1,0.001267,1.627898,1,0.001267,0.887886
671,1010011111,7,3,0.001263,2.127774,3,0.001263,0.889149
625,1001110001,5,1,0.001258,1.809615,1,0.001258,0.890408
740,1011100100,5,1,0.001244,1.789069,1,0.001244,0.891652
858,1101011010,6,1,0.001236,2.003509,1,0.001236,0.892887
598,1001010110,5,1,0.001232,1.711464,1,0.001232,0.894120
462,0111001110,6,1,0.001226,1.958034,1,0.001226,0.895345
748,1011101100,6,1,0.001219,1.963373,1,0.001219,0.896564
861,1101011101,7,1,0.001217,2.063062,1,0.001217,0.897781
892,1101111100,7,1,0.001214,2.197851,1,0.001214,0.898995
