sample,customer_id,bsp_purchased,bsp_size,bsp_price,bsp_value,bsp_cost,bsp_surplus,bsp_profit,bsp_bundle,bsp_items,bsp_bundle_in_fcp_menu,fcp_purchased,fcp_bundle_idx,fcp_size,fcp_price,fcp_value,fcp_cost,fcp_surplus,fcp_profit,fcp_bundle,fcp_items,same_purchase_decision,same_bundle,same_size,bsp_purchase_fcp_no_purchase,profit_gap_bsp_minus_fcp,surplus_gap_bsp_minus_fcp,fcp_size_support
in_sample,10,1,6,45.037073206030065,45.436459339105454,42.06666666666666,0.3993861330753887,2.9704065393634025,0000111111,"9,8,7,6,5,4",0,1,19,8,50.47990975988662,50.4799097598866,46.53333333333333,-1.4210854715202004e-14,3.9465764265532854,0110111111,"1,2,4,5,6,7,8,9",1,0,0,0,-0.976169887189883,0.39938613307540294,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,11,1,10,54.48899733449856,55.52734299817392,51.0,1.0383456636753579,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,32,9,51.12435294800897,51.9456223391591,47.33333333333333,0.8212693911501319,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.217076272525226,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,12,0,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,1,33,6,29.994061399924785,30.15712500448223,26.77777777777778,0.1630636045574434,3.2162836221470066,1111000011,"0,1,2,3,8,9",0,0,0,0,-3.2162836221470066,-0.1630636045574434,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,13,1,3,27.322818578787235,27.575990607471052,25.333333333333336,0.2531720286838173,1.9894852454538992,0000000111,"9,8,7",0,1,2,3,22.52281436581547,22.663274043775232,20.555555555555557,0.1404596779597611,1.9672588102599136,0010000011,"2,8,9",1,0,1,0,0.022226435193985594,0.11271235072405617,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,14,1,9,53.56580450400532,54.50680132556173,50.199999999999996,0.9409968215564106,3.3658045040053253,0111111111,"8,9,7,6,5,4,3,2,1",1,1,36,10,55.22876648022058,55.27384608304438,51.0,0.04507960282380452,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,0,0,0,-0.862961976215253,0.8959172187326061,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,15,1,10,54.48899733449856,56.519958897150445,51.0,2.030961562651882,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,4,6,37.46736405065777,39.21314590988625,34.422222222222224,1.7457818592284795,3.045141828435547,0011110011,"2,3,4,5,8,9",1,0,0,0,0.4438555060630165,0.2851797034234025,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,16,1,10,54.48899733449856,55.05534444447152,51.0,0.5663471099729591,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,0,1",1,1,32,9,51.12435294800897,51.12435294800892,47.33333333333333,-4.973799150320701e-14,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.5663471099730089,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,17,1,9,53.56580450400532,56.1569967404462,50.199999999999996,2.5911922364408824,3.3658045040053253,0111111111,"9,8,7,6,5,4,3,2,1",1,1,24,9,54.574495514278,56.1569967404462,50.199999999999996,1.5825012261682048,4.374495514278003,0111111111,"1,2,3,4,5,6,7,8,9",1,1,1,0,-1.0086910102726776,1.0086910102726776,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,18,1,10,54.48899733449856,55.415867279196604,51.0,0.9268699446980406,3.4889973344985634,1111111111,"8,9,7,6,5,4,3,2,1,0",1,1,36,10,55.22876648022058,55.415867279196604,51.0,0.18710079897602583,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,19,1,10,54.48899733449856,54.87982089034729,51.0,0.3908235558487263,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,32,9,51.12435294800897,51.27099677385468,47.33333333333333,0.14664382584570745,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.24417973000301885,"0,1,2,3,4,5,6,7,8,9,10"
