n,dist_family,rho,heterogeneity,cost_scenario,instances,status_counts,runtime_mean,drop_mean,drop_median,ratio_mean,ratio_median
5,lognormal,0.0,full,hvlm,1,{'OPTIMAL': 1},151.49201488494873,0.37030690898897944,0.37030690898897944,0.6296930910110206,0.6296930910110206
5,lognormal,0.0,full,zero,1,{'OPTIMAL': 1},153.69619297981262,0.19588837468913833,0.19588837468913833,0.8041116253108617,0.8041116253108617
5,lognormal,0.0,none,hvhm,1,{'TIME_LIMIT': 1},300.28336906433105,0.4490248281149919,0.4490248281149919,0.5509751718850081,0.5509751718850081
5,lognormal,0.0,none,hvlm,1,{'OPTIMAL': 1},201.86691403388977,0.1529886517051211,0.1529886517051211,0.8470113482948789,0.8470113482948789
5,lognormal,0.0,none,zero,1,{'TIME_LIMIT': 1},300.2118058204651,0.2139738391144559,0.2139738391144559,0.7860261608855441,0.7860261608855441
5,lognormal,0.0,partial,hvhm,1,{'TIME_LIMIT': 1},300.23798298835754,0.554420301487654,0.554420301487654,0.445579698512346,0.445579698512346
5,lognormal,0.0,partial,hvlm,1,{'TIME_LIMIT': 1},300.2871868610382,0.37780383345510493,0.37780383345510493,0.6221961665448951,0.6221961665448951
5,lognormal,0.0,partial,zero,1,{'TIME_LIMIT': 1},300.2600359916687,0.08974296696974804,0.08974296696974804,0.910257033030252,0.910257033030252
5,lognormal,0.5,full,hvhm,1,{'OPTIMAL': 1},65.77592706680298,0.42624474484921027,0.42624474484921027,0.5737552551507897,0.5737552551507897
5,lognormal,0.5,full,hvlm,1,{'OPTIMAL': 1},142.59799599647522,0.24462716839791598,0.24462716839791598,0.755372831602084,0.755372831602084
5,lognormal,0.5,full,zero,1,{'OPTIMAL': 1},130.9139449596405,0.18633509702696538,0.18633509702696538,0.8136649029730346,0.8136649029730346
5,lognormal,0.5,none,hvhm,1,{'TIME_LIMIT': 1},300.3254659175873,0.43892345429203816,0.43892345429203816,0.5610765457079618,0.5610765457079618
5,lognormal,0.5,none,hvlm,1,{'TIME_LIMIT': 1},300.17991185188293,0.29260530340095137,0.29260530340095137,0.7073946965990486,0.7073946965990486
5,lognormal,0.5,none,zero,1,{'TIME_LIMIT': 1},300.2137129306793,0.12710705671688094,0.12710705671688094,0.8728929432831191,0.8728929432831191
5,lognormal,0.5,partial,hvhm,1,{'TIME_LIMIT': 1},300.22762393951416,0.5330587435591854,0.5330587435591854,0.46694125644081463,0.46694125644081463
5,lognormal,0.5,partial,hvlm,1,{'OPTIMAL': 1},126.72269105911255,0.3938600533542844,0.3938600533542844,0.6061399466457156,0.6061399466457156
5,lognormal,0.5,partial,zero,1,{'OPTIMAL': 1},29.88918399810791,0.1519273915958358,0.1519273915958358,0.8480726084041642,0.8480726084041642
5,normal,-0.5,full,hvhm,1,{'OPTIMAL': 1},26.469883918762207,0.3164213436475063,0.3164213436475063,0.6835786563524937,0.6835786563524937
5,normal,-0.5,full,hvlm,1,{'OPTIMAL': 1},111.5933051109314,0.3004449144081881,0.3004449144081881,0.6995550855918119,0.6995550855918119
5,normal,-0.5,full,zero,1,{'OPTIMAL': 1},1.318315029144287,0.13778247146756917,0.13778247146756917,0.8622175285324308,0.8622175285324308
5,normal,-0.5,none,hvhm,1,{'OPTIMAL': 1},8.64713978767395,0.43544646312282165,0.43544646312282165,0.5645535368771784,0.5645535368771784
5,normal,-0.5,none,hvlm,1,{'OPTIMAL': 1},16.53170108795166,0.28284334225047414,0.28284334225047414,0.7171566577495259,0.7171566577495259
5,normal,-0.5,none,zero,1,{'OPTIMAL': 1},46.77820086479187,0.18242690095800151,0.18242690095800151,0.8175730990419985,0.8175730990419985
5,normal,-0.5,partial,hvhm,1,{'TIME_LIMIT': 1},300.24440908432007,0.2452102512190023,0.2452102512190023,0.7547897487809977,0.7547897487809977
5,normal,-0.5,partial,hvlm,1,{'OPTIMAL': 1},41.914581060409546,0.11439853691083968,0.11439853691083968,0.8856014630891603,0.8856014630891603
5,normal,-0.5,partial,zero,1,{'OPTIMAL': 1},1.1234400272369385,0.06199408249273797,0.06199408249273797,0.938005917507262,0.938005917507262
5,normal,0.0,full,hvhm,1,{'TIME_LIMIT': 1},300.2261600494385,0.2739227434873972,0.2739227434873972,0.7260772565126028,0.7260772565126028
5,normal,0.0,full,hvlm,1,{'OPTIMAL': 1},29.693592071533203,0.2159070087751569,0.2159070087751569,0.7840929912248431,0.7840929912248431
5,normal,0.0,full,zero,1,{'OPTIMAL': 1},1.7987902164459229,0.17455589324266774,0.17455589324266774,0.8254441067573323,0.8254441067573323
5,normal,0.0,none,hvhm,1,{'OPTIMAL': 1},181.43951416015625,0.297313125249391,0.297313125249391,0.702686874750609,0.702686874750609
5,normal,0.0,none,hvlm,1,{'OPTIMAL': 1},59.40918016433716,0.3881247395272056,0.3881247395272056,0.6118752604727944,0.6118752604727944
5,normal,0.0,none,zero,1,{'OPTIMAL': 1},140.89795684814453,0.27845798279172607,0.27845798279172607,0.7215420172082739,0.7215420172082739
5,normal,0.0,partial,hvhm,1,{'OPTIMAL': 1},53.078591108322144,0.32972808692707567,0.32972808692707567,0.6702719130729243,0.6702719130729243
5,normal,0.0,partial,hvlm,1,{'OPTIMAL': 1},228.76376581192017,0.1570795485944727,0.1570795485944727,0.8429204514055273,0.8429204514055273
5,normal,0.0,partial,zero,1,{'OPTIMAL': 1},4.012409925460815,0.08664330502102535,0.08664330502102535,0.9133566949789746,0.9133566949789746
5,normal,0.5,full,hvhm,1,{'TIME_LIMIT': 1},300.0944809913635,0.21709486775952624,0.21709486775952624,0.7829051322404738,0.7829051322404738
5,normal,0.5,full,hvlm,1,{'OPTIMAL': 1},108.54341888427734,0.37607571865488043,0.37607571865488043,0.6239242813451196,0.6239242813451196
5,normal,0.5,full,zero,1,{'OPTIMAL': 1},1.5204169750213623,0.08366377016606641,0.08366377016606641,0.9163362298339336,0.9163362298339336
5,normal,0.5,none,hvhm,1,{'TIME_LIMIT': 1},300.1486608982086,0.2896669750269104,0.2896669750269104,0.7103330249730896,0.7103330249730896
5,normal,0.5,none,hvlm,1,{'TIME_LIMIT': 1},300.21220803260803,0.21394547019175925,0.21394547019175925,0.7860545298082408,0.7860545298082408
5,normal,0.5,none,zero,1,{'TIME_LIMIT': 1},300.188805103302,0.17076640028756052,0.17076640028756052,0.8292335997124395,0.8292335997124395
5,normal,0.5,partial,hvhm,1,{'TIME_LIMIT': 1},300.2583508491516,0.30451005300238465,0.30451005300238465,0.6954899469976153,0.6954899469976153
5,normal,0.5,partial,hvlm,1,{'OPTIMAL': 1},139.7120270729065,0.24999376021300068,0.24999376021300068,0.7500062397869993,0.7500062397869993
5,normal,0.5,partial,zero,1,{'OPTIMAL': 1},3.8458268642425537,0.06625898381814277,0.06625898381814277,0.9337410161818572,0.9337410161818572
5,uniform,-0.5,full,hvhm,1,{'OPTIMAL': 1},105.3358302116394,0.16308920604139676,0.16308920604139676,0.8369107939586032,0.8369107939586032
5,uniform,-0.5,full,hvlm,1,{'OPTIMAL': 1},13.33606219291687,0.3375853771614923,0.3375853771614923,0.6624146228385077,0.6624146228385077
5,uniform,-0.5,full,zero,1,{'OPTIMAL': 1},1.5503149032592773,0.04352512591867752,0.04352512591867752,0.9564748740813225,0.9564748740813225
5,uniform,-0.5,none,hvhm,1,{'OPTIMAL': 1},34.067221879959106,0.4112849615575571,0.4112849615575571,0.5887150384424429,0.5887150384424429
5,uniform,-0.5,none,hvlm,1,{'OPTIMAL': 1},26.550534963607788,0.22956399494675028,0.22956399494675028,0.7704360050532497,0.7704360050532497
5,uniform,-0.5,none,zero,1,{'OPTIMAL': 1},49.75639605522156,0.07599228838169969,0.07599228838169969,0.9240077116183003,0.9240077116183003
5,uniform,-0.5,partial,hvhm,1,{'OPTIMAL': 1},149.6009078025818,0.26396914499788093,0.26396914499788093,0.7360308550021191,0.7360308550021191
5,uniform,-0.5,partial,hvlm,1,{'OPTIMAL': 1},139.38320517539978,0.25543270599257506,0.25543270599257506,0.7445672940074249,0.7445672940074249
5,uniform,-0.5,partial,zero,1,{'OPTIMAL': 1},5.242999076843262,0.2196456819402619,0.2196456819402619,0.7803543180597381,0.7803543180597381
5,uniform,0.0,full,hvhm,1,{'OPTIMAL': 1},35.019684076309204,0.4127862104013693,0.4127862104013693,0.5872137895986307,0.5872137895986307
5,uniform,0.0,full,hvlm,1,{'OPTIMAL': 1},107.35807490348816,0.2924528017300678,0.2924528017300678,0.7075471982699322,0.7075471982699322
5,uniform,0.0,full,zero,1,{'OPTIMAL': 1},2.1743810176849365,0.10126815006636558,0.10126815006636558,0.8987318499336344,0.8987318499336344
5,uniform,0.0,none,hvhm,1,{'OPTIMAL': 1},77.76368117332458,0.362930163403835,0.362930163403835,0.637069836596165,0.637069836596165
5,uniform,0.0,none,hvlm,1,{'OPTIMAL': 1},26.69387197494507,0.27552975350738673,0.27552975350738673,0.7244702464926133,0.7244702464926133
5,uniform,0.0,none,zero,1,{'TIME_LIMIT': 1},300.20588088035583,0.26588447373509194,0.26588447373509194,0.7341155262649081,0.7341155262649081
5,uniform,0.0,partial,hvhm,1,{'OPTIMAL': 1},41.77486991882324,0.2881204455433932,0.2881204455433932,0.7118795544566068,0.7118795544566068
5,uniform,0.0,partial,hvlm,1,{'OPTIMAL': 1},122.12910795211792,0.34099942628840785,0.34099942628840785,0.6590005737115922,0.6590005737115922
5,uniform,0.0,partial,zero,1,{'OPTIMAL': 1},4.473675966262817,0.09117906742059945,0.09117906742059945,0.9088209325794006,0.9088209325794006
5,uniform,0.5,full,hvhm,1,{'OPTIMAL': 1},198.0842068195343,0.2725573524215815,0.2725573524215815,0.7274426475784185,0.7274426475784185
5,uniform,0.5,full,hvlm,1,{'OPTIMAL': 1},146.73775100708008,0.3208623364635359,0.3208623364635359,0.6791376635364641,0.6791376635364641
5,uniform,0.5,full,zero,1,{'OPTIMAL': 1},3.4692020416259766,0.12710356889838914,0.12710356889838914,0.8728964311016109,0.8728964311016109
5,uniform,0.5,none,hvhm,1,{'OPTIMAL': 1},93.67791986465454,0.42621232125080555,0.42621232125080555,0.5737876787491945,0.5737876787491945
5,uniform,0.5,none,hvlm,1,{'OPTIMAL': 1},25.091318130493164,0.49606928264848404,0.49606928264848404,0.503930717351516,0.503930717351516
5,uniform,0.5,none,zero,1,{'OPTIMAL': 1},173.07438611984253,0.25097850825352397,0.25097850825352397,0.749021491746476,0.749021491746476
